region.Region,region.Country,region.relevance,region.BidFactor,region.eCPM,region.eFlightSpend,region.cumulativeSpend,region.eCPA,region.cumulativeEcpa,region.eCTR,region.eCPC,region.eViewability
Portsmouth,United Kingdom,0.95,0.95,3.47,267,343798.06,22945.8,5234.99,6.80E-04,5.14,0.5693
Maine,United States,0.93,0.93,3.22,5769,349566.94,21804.19,5301.47,7.40E-04,4.28,0.6023
A Coruña,Spain,0.92,0.92,1.93,102,350628.81,13189.87,5313.66,8.30E-04,2.28,0.5034
Cambridgeshire,United Kingdom,0.92,0.92,3.44,960,350628.81,23490.3,5313.66,5.90E-04,5.9,0.5849
Alpes-Maritimes,France,0.85,0.84,1.29,147,350776.2,9513.74,5314.65,4.10E-04,3.26,0.4859
Okinawa,Japan,0.83,0.81,1.07,63,350915.14,8112.38,5315.35,6.30E-04,1.57,0.4818
Pas-de-Calais,France,0.83,0.81,1.03,76,350915.14,7837.66,5315.35,4.10E-04,2.59,0.4422
Barnet,United Kingdom,0.78,0.75,3.65,402,351831.4,29475.04,5326.71,6.20E-04,5.97,0.5682
Reading,United Kingdom,0.78,0.75,3.63,514,351831.4,29307,5326.71,6.60E-04,5.57,0.5722
Redbridge,United Kingdom,0.73,0.69,3.56,418,352249.26,30708.45,5331.94,6.40E-04,5.61,0.5568
Wigan,United Kingdom,0.72,0.67,3.5,295,352544.73,30585.68,5335.63,7.50E-04,4.69,0.5582
Hiroshima,Japan,0.71,0.66,0.83,100,352793.06,7382.02,5337.36,0.001,0.76,0.4635
Mazovia,Poland,0.71,0.66,1.45,148,352793.06,12805.15,5337.36,5.10E-04,2.92,0.5738
Nottingham,United Kingdom,0.7,0.64,3.45,904,353697.55,31001.56,5348.68,7.00E-04,4.95,0.5648
Kent,United Kingdom,0.69,0.63,3.41,1578,355275.19,31067.54,5368.42,6.70E-04,5.14,0.6013
Bristol,United Kingdom,0.68,0.61,3.64,1040,356315.08,33707.41,5381.62,6.60E-04,5.52,0.5662
Seine-Saint-Denis,France,0.66,0.58,0.99,166,356481.18,9441.61,5382.7,6.20E-04,1.6,0.462
Dorset,United Kingdom,0.65,0.57,3.65,342,358232.9,35291.75,5403.75,5.80E-04,6.34,0.587
North,France,0.65,0.57,1.12,211,358232.9,10800.13,5403.75,3.60E-04,3.13,0.4294
North Holland,Netherlands,0.65,0.57,2.78,368,358232.9,26943.31,5403.75,0.00104,2.61,0.4839
Somerset,United Kingdom,0.65,0.57,3.67,831,358232.9,35548.67,5403.75,6.60E-04,5.64,0.5951
Piaui,Brazil,0.64,0.55,0.93,106,358338.96,9126.9,5404.4,4.70E-04,2.05,0.4122
Var,France,0.63,0.54,1.18,92,358431.29,11809.72,5405.15,3.60E-04,3.37,0.4434
Loiret,France,0.62,0.52,1.08,64,358924.65,10975.86,5411.17,3.60E-04,3.09,0.4288
Waltham Forest,United Kingdom,0.62,0.52,3.63,429,358924.65,36870.15,5411.17,6.40E-04,5.66,0.5545
New York,United States,0.6,0.49,3.84,112691,471837.18,40257.8,6824.07,8.80E-04,4.26,0.5584
Upper Austria,Austria,0.6,0.49,1.57,222,471837.18,16433.02,6824.07,8.60E-04,1.91,0.4985
Leeds,United Kingdom,0.59,0.47,3.54,1319,473155.71,37708.59,6839.68,8.40E-04,4.23,0.5558
Alicante,Spain,0.58,0.46,1.79,151,473408.11,19423.52,6841.8,8.20E-04,2.19,0.5182
Penang,Malaysia,0.58,0.46,1.22,101,473408.11,13179.04,6841.8,4.60E-04,2.66,0.6899
Sao Paulo,Brazil,0.56,0.42,1.14,1541,474948.87,12795.32,6852.14,4.80E-04,2.49,0.4098
