data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
US > Premium > Entertainment > Celebrity News,addthis,40.99,4.71,8.93,113,0
purchase intent > health > childrens health > strong affinity,DataAlliance,40.72,4.71,2.01,13,0
Retail > Retail - Supermarkets > Retail - Supermarkets - Trader Joes > Retail - Supermarkets - Trader Joes - Heavy Credit/Debit Buyer,exelate,40.51,4.7,10.08,43,0
Branded Data > US Experian > Propensity Models > Lifestyle > Retired > Retired - Have Retirement Financial Plan,eyeota,40.25,4.7,7.23,119,0
Branded Data > SG Experian > Sociodemographic > Lifestyle > Frequent Travelers,eyeota,39.81,4.68,2.12,7,0
Branded Data > Neustar AdAdvisor > Personal Finance > Investments - Type Of > 529 College Savings,bluekai,39.75,4.68,3.9,26,40695400
Germany > Reach > Telecom,addthis,39.11,4.67,1.31,4,0
Geographic > IP based > Country > United Kingdom > England,bluekai,39.1,4.67,3.07,140,10413760
Demographics > Career > Sales/Marketing,visualdna,39.05,4.66,3.58,13,0
Audience - Interests > Business > Finance > Confident,DataAlliance,38.95,4.66,4.35,74,0
Branded Data > Datalogix UK > DLX Demographics > Gender > Female,bluekai,38.44,4.65,5.38,59,0
interests > online games > affinity,DataAlliance,38.37,4.65,3.71,910,0
interests > electronics > extreme,DataAlliance,38.02,4.64,1.83,25,0
US > Reach > Financial > Insurance,addthis,37.93,4.64,2.43,22,0
interests > career development > job search > strong affinity,DataAlliance,37.56,4.63,1.82,25,0
Seasonal > Holiday and Special Events  > Christmas > Grocery Shopping Mums,eyeota,36.82,4.61,3.58,16,0
Audience - Interests > Outdoor & Recreation > Confident,DataAlliance,36.7,4.6,3.57,27,0
Global > B2B Predictive Signals > Marketing > Search Marketing,eyeota,36.37,4.59,4.13,53,0
Branded Data > Affinity Answers > Sports > Professional Rugby,bluekai,36.31,4.59,4.71,19,32383200
Retail & Consumer Goods > Clothes > Fashion Style > Contemporary,visualdna,35.94,4.58,3.67,30,0
US > Premium > Telecommunications > Brand > Charter Communications,addthis,35.91,4.58,2.34,8,0
Branded Data > Neustar AdAdvisor > Household Products > Disposable Diapers,bluekai,35.87,4.58,7.19,21,25271200
Seasonal > Holiday and Special Events  > Halloween > Grocery Shopping Mums,eyeota,35.68,4.57,3.26,23,0
Global > B2B Predictive Signals > Technology > Mobility and Wireless,eyeota,35.66,4.57,3.61,32,0
B2BX > Business Professionals > Finance Professionals,exelate,35.61,4.57,2.71,20,0
Branded Data > Clearspring > Premium > Lifestyles > Sports Fans,bluekai,35.48,4.57,2.11,7,21535040
Branded Data > TruSignal > Auto > Near Market > Models > Honda > Accord,bluekai,35.2,4.56,4.77,14,8074600
B2B Demo > Company Size,bluekai,34.81,4.55,4.38,30,72742800
interests > business > news > affinity,DataAlliance,34.33,4.54,5.7,83,0
Business to Business (B2B) > Company Revenue > $500 Million to $1 Billion,lotame,33.75,4.52,5.27,16,0
Germany > Reach > In-Market > Retail > Mobile Phones & Plans,addthis,33.72,4.52,1.32,6,0
Audience - Interests > Business > Business Management > Confident,DataAlliance,33.32,4.51,4.04,82,0
interests > computers > computer programming > strong affinity,DataAlliance,33.03,4.5,2.73,8,0
Intent > Propensity > Propensity - Travel > Propensity - Travel - Likely Gamblers - Las Vegas,exelate,32.6,4.48,3.84,109,1
B2B > Company Size > Under 10 Employees,bluekai,32.48,4.48,4.12,72,108755000
