data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
Nielsen > Scarborough > Eco-friendly activities done on a regular basis > Buy organic food,exelate,6.89,2.93,4.78,260,0
In-Market > Financial Products & Services > Retirement & Investing > Services > Brokerages,bluekai,6.88,2.93,3.29,23,66000
Nielsen Buyer Insights > Amusement Parks > Six Flags - All Buyers,exelate,6.83,2.92,6.17,200,0
US > Premium > Travel > Hotel Enthusiast > Hotel Brands,addthis,6.83,2.92,2.37,87,0
Entertainment & Lifestyle > Online > Betting,visualdna,6.83,2.92,3.66,62,0
Branded Data > I-Behavior > UK Data > Demographics > Age > 45-54,bluekai,6.82,2.92,4.44,63,0
"In-Market > Retail > Shopping Predictors > Transaction Predictors > Consumer Packaged Goods (CPG) > Food & Beverages > Sauces, Spices & Seasonings",bluekai,6.77,2.91,3.21,274,177799000
Audience - Interests > Fitness & Exercise > Diet & Weight Loss > Confident,DataAlliance,6.77,2.91,4.14,217,0
singapore > real estate,lotame,6.76,2.91,1.37,68,0
Entertainment & Lifestyle > Interest > Media > Music,visualdna,6.74,2.91,4.52,77,0
Verified Television > Viewing Behavior > Heavy TV Viewers,sambatv,6.72,2.91,12.51,161,0
Custom Categories > Holiday Shoppers,bluekai,6.71,2.9,2.8,124,184357400
Seasonal > Holiday and Special Events  > Christmas > Gift Buyers Shoppers,eyeota,6.7,2.9,3.35,62,0
interests > career development > job search > extreme,DataAlliance,6.7,2.9,1.11,37,0
Oracle Country-Specific Audiences > United Kingdom > Travel > Interest,bluekai,6.69,2.9,4.62,86,0
interests > blogs & forums > strong affinity,DataAlliance,6.65,2.89,2.79,173,0
Oracle Country-Specific Audiences > United Kingdom > Travel,bluekai,6.65,2.89,4.63,87,0
Retail > Retail - Apparel > Retail - Apparel - H and M > Retail - Apparel - H and M - All Credit/Debit Buyers,exelate,6.64,2.89,1.14,30,0
interests > computers > computer hardware > affinity,DataAlliance,6.58,2.88,1.91,59,0
Intent > Auto- Buyers > Make > ~Hyundai,exelate,6.56,2.88,2.66,12,1
Retail & Consumer Goods > Clothes > Fashion Style > Contemporary,visualdna,6.55,2.88,1.14,54,0
AudiencePredictor > HSBC_SG | fh9w8sh > High Value User Lookalike > 10002,ttdeskpat,6.54,2.88,1.9,173,0
lifestyle > fashion & beauty > affinity,DataAlliance,6.52,2.87,2.98,57,0
In-Market > Financial Products & Services > Loans > Auto Loans,bluekai,6.5,2.87,3.14,60,87400
US > Premium > Retail > Apparel,addthis,6.5,2.87,9.06,40,0
Custom Segments > AddThis_PUR (water filters)_custom_Mediavest_TTD_2016,addthis,6.49,2.87,10.93,162,0
Smart Segments > High Income Tech Shoppers,exelate,6.48,2.87,2.16,10,0
US > Premium > Political > People > 2016 Presidential Candidates > Republicans > Jeb Bush,addthis,6.46,2.87,22.74,474,0
Interest > Arts & Entertainment > Film & Television > TV,bluekai,6.44,2.86,4.45,405,342053800
In-Market > Travel > Hotels & Lodging  > Length of Stay > 0-2 Nights,bluekai,6.42,2.86,2.49,34,4939400
Retail > Retail - Daily Deals > Retail - Daily Deals - Groupon > Retail - Daily Deals - Groupon - All Credit/Debit Buyers,exelate,6.42,2.86,2.16,10,0
Interest  > Entertainment > Music,eyeota,6.38,2.85,4.45,677,0
australia > sports,lotame,6.38,2.85,3.26,643,0
Interest  > Food Enthusiasts > Vegetarians and Vegans,eyeota,6.37,2.85,4.12,224,0
Branded Data > TruSignal > Interest Model: Financial Services > Checking,bluekai,6.37,2.85,4.2,63,27517600
Germany > Reach > In-Market > Retail > Computers > Tablets,addthis,6.3,2.84,2.2,10,0
Business to Business (B2B) > Company Ownership > Private,lotame,6.27,2.84,8.37,167,0
Branded Data > I-Behavior > US Data > KBM Group AmeriLINK Consumer Database > Demographics & Segmentation > Estimated Household Investable Assets > $1MM +,bluekai,6.26,2.83,6.51,420,2115200
Travel > Interest > Accommodation > Hotel,visualdna,6.26,2.83,1.59,56,0
interests > business > small business & entrepreneur > affinity,DataAlliance,6.26,2.83,1.22,19,0
Branded Data > Lotame > Automobiles > Makes and Models > Honda > Accord,bluekai,6.25,2.83,5.25,24,8455680
US > Reach > Social > Social Followers > Social Networks,addthis,6.24,2.83,4.42,102,0
interests > education > strong affinity,DataAlliance,6.22,2.83,3.52,223,0
Branded Data > US Experian > Lifestyle and Interests > Technology > Apple IPod / IPhone Owner Model - Precision,eyeota,6.21,2.83,8.65,40,0
Entertainment > Television Shows > MSNBC: The Rachel Maddow Show Last 4 Weeks,targus,6.21,2.83,1.46,32,0
Branded Data > Experian > Models > First Time Homebuyer (Enhanced Tiers 1-3),bluekai,6.2,2.82,4.11,45,25490400
purchase intent > autos > pickups > strong affinity,DataAlliance,6.2,2.82,2.54,24,0
US > Premium > Financial >  Personal Finance >  Small Business,addthis,6.19,2.82,4.93,138,0
International Audiences > LEN UK > United Kingdom Level of Education > College/University Degree,lotame,6.19,2.82,3.15,49,0
US > Premium > Health,addthis,6.17,2.82,1.75,55,0
Demographic > Technographics > Chrome User,exelate,6.16,2.82,1.84,43,0
Demographic > Home Value $500k+,alliant,6.13,2.81,2.33,175,0
US > Premium > Health >  Health and Wellness >  Weight Loss,addthis,6.13,2.81,3.09,68,0
interests > sports > soccer > extreme,DataAlliance,6.12,2.81,1.29,100,0
Branded Data > US Experian > Propensity Models > Lifestyle > Healthy Living,eyeota,6.12,2.81,3.63,74,0
US > Premium > Travel > Activities > Dining,addthis,6.12,2.81,2.27,57,0
International Audiences > LEN FRA > France C-Level Executives,lotame,6.11,2.81,14.85,1753,0
Restaurants > Restaurants - Casual > Restaurants - Casual - IHOP > Restaurants - Casual - IHOP - All Credit/Debit Buyers,exelate,6.1,2.81,5.32,34,0
Demographics > Children in Household > Age of Children > Children Age 3-5 in Household,bluekai,6.03,2.8,2.33,241,45649400
US > Premium > Health >  Health and Medical >  Medicine >  Vision,addthis,6.02,2.8,4.16,27,0
Audience - Interests > Education > Extreme Confidence,DataAlliance,6.01,2.79,2.88,143,0
Demographics > Age > 25 to 34,visualdna,5.99,2.79,4.11,732,0
Retail > Retail - Apparel > Retail - Apparel - Urban Outfitters > Retail - Apparel - Urban Outfitters - All Credit/Debit Buyers,exelate,5.99,2.79,2.79,18,0
NCS > Food and Beverage > New Age Beverage Category > Glaceau Vitamin Water Brands,neustar_pro,5.92,2.78,4.15,61,0
US > Premium > Auto >  Class >  Truck,addthis,5.9,2.77,1.95,321,0
Branded Data > Webbula > Demographic > Age > 35-44,bluekai,5.89,2.77,4.73,293,19713200
Interest > Sports > Team Sports > Hockey,bluekai,5.88,2.77,2.6,98,16800800
AudiencePredictor > 531_BANG_MN_Coldwell-Banker_2004320 | 3i4sizc > High Value User Lookalike > 10001,ttdeskpat,5.88,2.77,1.4,14,0
In-Market > Travel > Hotels & Lodging  > Locations > International > North America > Mexico,bluekai,5.87,2.77,5.45,36,193800
Audience - Interests > Business > Finance > High Confidence,DataAlliance,5.86,2.77,2.1,317,0
Branded Data > Edmunds > Makes & Models > Nissan > Leaf,bluekai,5.85,2.77,3.81,31,0
Past Purchases > Financial Products & Services > Retirement & Investing > Real Estate,bluekai,5.85,2.77,1.16,13,6035800
Custom Segments > AddThis_Famous Footwear (Merrell Shoes)_AD_Empower_TTD_2016,addthis,5.84,2.76,2.23,11,0
US > Premium > Travel > Hotel Enthusiast,addthis,5.83,2.76,3.1,342,0
Business to Business (B2B) > Professional Groups > Sales and Marketing Professionals,lotame,5.82,2.76,2.79,97,0
Demographics > Employment > Employed > Managerial,visualdna,5.82,2.76,4.11,75,0
Automotive > Auto - In Market for Financing,alliant,5.8,2.76,2.06,51,0
Food & Drink > Beverages > Spirits,visualdna,5.8,2.76,1.69,20,0
Custom Segments > Famous Footwear (Flats)_AD_Empower_TTD_2016,addthis,5.79,2.76,2.46,20,0
Demographics > Age > 18 to 24,visualdna,5.78,2.75,5.75,353,0
US > Premium > Gaming >  Game Genres >  Action,addthis,5.75,2.75,1.49,17,0
Audience - Interests > Business > Confident,DataAlliance,5.74,2.75,3.16,980,0
"Branded Data > Lotame > Advanced Demographics > Household Income > $100,000+",bluekai,5.74,2.75,3.86,343,20016400
Brand > Online Store > Apple iTunes,visualdna,5.74,2.75,1.59,37,0
Interest > Lifestyles > Gift Giving,bluekai,5.71,2.74,2.58,13,84499200
AudiencePredictor > 701_DPMP_DPO_Aspenwood-Dental_1018126 | cycne3v > High Value User Lookalike > 10001,ttdeskpat,5.7,2.74,0.3,6,0
US > internet & telecom > mobile & wireless > mobile phones,sharethis,5.69,2.74,6.32,96,0
US > Reach > Financial > Financial Enthusiasts,addthis,5.67,2.74,1.67,210,0
Branded Data > Clearspring > Health > Health & Medical,bluekai,5.67,2.74,3.37,68,6516000
SG_Generic_IpDistance_20150421,DataAlliance,5.67,2.74,0.62,4,1
purchase intent > health & fitness > affinity,DataAlliance,5.66,2.73,4.68,262,0
Audience - Interests > Finance > Loans > Extreme Confidence,DataAlliance,5.66,2.73,4.21,136,0
Audience - Interests > News & Politics > Business News > Confident,DataAlliance,5.65,2.73,1.63,261,0
Branded Data > Dataline > Home Ownership,bluekai,5.65,2.73,5.97,203,98410240
Demographic > Employment Industry > Marketing,eyeota,5.62,2.73,4.47,260,0
purchase intent > finance > extreme,DataAlliance,5.6,2.72,2.64,494,0
Smart Segments > Tech Geeks,exelate,5.57,2.72,2.61,18,0
US > Premium > Education >  Degrees >  Bachelors,addthis,5.56,2.72,4.38,129,0
US > pets & animals > pets > dogs,sharethis,5.56,2.72,8.63,104,0
Custom Segments > AddThis_Famous Footwear (Rain Boots)_AD_Empower_TTD_2016,addthis,5.55,2.71,2.21,11,0
Interest  > Food Enthusiasts > Cooking,eyeota,5.53,2.71,3.36,566,0
In-Market > Autos > Makes & Models > Mercedes-Benz,bluekai,5.53,2.71,2.97,423,671200
Branded Data > Lotame > Food & Restaurants > Food & Beverages,bluekai,5.53,2.71,3.73,58,85850400
Branded Data > Neustar AdAdvisor > Shopping > Coupons,bluekai,5.52,2.71,5.82,81,101387600
Brand > Printed Media > Wall Street Journal,visualdna,5.52,2.71,3.42,18,0
purchase intent > video games > pc games > affinity,DataAlliance,5.51,2.71,0.88,142,0
Audience - Purchase Intent > Real Estate > Confident,DataAlliance,5.5,2.7,2.54,244,0
US > Premium > Sports > Team Sports > Hockey,addthis,5.48,2.7,2.52,97,0
Audience - Interests > Computers > Computer Programming > Extreme Confidence,DataAlliance,5.47,2.7,3.83,88,0
Nielsen > Scarborough > Restaurant - Quick Service > Dine at Five Guys Burgers and Fries,exelate,5.45,2.7,4.3,91,0
Branded Data > Neustar AdAdvisor > Beauty Products > Facial Cleansing,bluekai,5.44,2.69,4.64,25,93668600
Audience - Interests > Beauty & Personal Care > High Confidence,DataAlliance,5.44,2.69,2.69,14,0
Branded Data > US SMS-INC > Shopping > Mail Order Responder > Camping and Hiking,eyeota,5.43,2.69,4.87,52,0
purchase intent > finance > financial planning > extreme,DataAlliance,5.4,2.69,5.34,190,0
Audience - Interests > Education > Colleges & Universities > High Confidence,DataAlliance,5.39,2.68,1.36,87,0
Finance > Income > Very High Income,visualdna,5.36,2.68,4.56,221,0
Branded Data > Edmunds > Makes & Models > Acura > RLX,bluekai,5.36,2.68,4.08,44,960
interests > humor > memes > affinity,DataAlliance,5.36,2.68,1.62,17,0
Products & Services Propensities > Professional Football Fans - Propensity ,alliant,5.35,2.68,2.38,17,0
Audience - Interests > Fitness & Exercise > Confident,DataAlliance,5.34,2.68,4.04,510,0
Nielsen Buyer Insights > Fast Food > Other Restaurants - Medium Buyers,exelate,5.34,2.68,8.46,244,0
purchase intent > movies > foreign films > affinity,DataAlliance,5.34,2.68,1.37,175,0
Demographic > Optimized > Male 40-44 > High Confidence,DataAlliance,5.34,2.68,1.44,70,0
Audience - Interests > Business > Advertising & Marketing > High Confidence,DataAlliance,5.34,2.68,1.9,55,0
Channel Planning > Stores > Shopped Target Last 3M,targus,5.32,2.67,3.46,81,0
Product Potential > Financial > Have Homeowner InsuranceFrom Aaa,targus,5.32,2.67,7.86,43,0
Audience - Interests > Home & Garden > Interior Decor > Confident,DataAlliance,5.32,2.67,1.95,35,0
Branded Data > US Experian > Demographics > Gender > Gender - Female,eyeota,5.32,2.67,6.41,35,0
International Audiences > LEN UK > United Kingdom Art,lotame,5.31,2.67,2.91,21,0
US > Premium > Seasonal and Holiday > South by Southwest,addthis,5.3,2.67,1.7,74,0
Audience - Interests > Health > Extreme Confidence,DataAlliance,5.29,2.67,3.94,737,0
US > Premium > Financial > Financial Enthusiasts,addthis,5.29,2.67,4.08,586,0
australia > parenting,lotame,5.29,2.67,3.16,259,0
bluekai > Oracle - BlueKai: MED_CTP Enhanced Targeting QTA_Narrow Target (#167165)_GM - Cookies,bluekai,5.29,2.67,6.43,199,(null)
Branded Data > IXI > Consumer Markets > Travel > Cruise Customers - Luxury,bluekai,5.27,2.66,8.14,119,99991200
International Segments > Canada > Cruise Travel,lotame,5.27,2.66,4.65,25,0
purchase intent > movies > foreign films > strong affinity,DataAlliance,5.25,2.66,1.48,130,0
australia > men declared,lotame,5.24,2.66,3.09,301,0
Audience - Interests > News & Politics > Business News > Extreme Confidence,DataAlliance,5.23,2.65,3.11,720,0
B2B > Company Size > 10-50 Employees,bluekai,5.23,2.65,7.53,512,40325200
Branded Data > IRI > Demographics > Gender > Male,bluekai,5.23,2.65,14.68,108,42454600
Shopping > Coupons Used > Redeems Cents-Off Coupon at Drug Stores,targus,5.23,2.65,4.64,85,0
australia > movies,lotame,5.22,2.65,3.23,327,0
US > Premium > Financial,addthis,5.22,2.65,0.86,16,0
US > Premium > Health >  Health and Wellness >  Nutrition,addthis,5.21,2.65,3.83,99,0
Interest > Autos > Makes > Honda,bluekai,5.2,2.65,4.2,217,71370000
US > Premium > Social > Social Followers,addthis,5.19,2.65,5.01,46,0
B2BX > Industry > Pharmaceuticals,exelate,5.17,2.64,5.69,85,0
Retail > Retail - Baby Stores > Retail - Baby Stores - All Credit/Debit Buyers,exelate,5.16,2.64,3.36,31,0
US > Premium > Education >  Majors >  Social Science,addthis,5.15,2.64,3.15,112,0
Demographics > Political > Any Liberal Political Outlook,targus,5.14,2.64,1.89,53,0
intl. > Singapore LAPN SIN - Dem+Act+Cat,lotame,5.13,2.64,0.89,249,0
US > Premium > Sports > Individual Sports > Golf,addthis,5.13,2.64,1.28,91,0
US > Premium > Travel >  Hotel Enthusiast >  Domestic Hotels,addthis,5.13,2.64,1.95,91,0
Nielsen > Scarborough > Airlines > Flies JetBlue,exelate,5.13,2.64,4.55,34,0
interests > real estate > extreme,DataAlliance,5.11,2.63,2.65,120,0
purchase intent > finance > investments & stocks > strong affinity,DataAlliance,5.1,2.63,8.03,303,0
Audience - Interests > Finance > Credit & Lending > Extreme Confidence,DataAlliance,5.1,2.63,7.19,163,0
Demographic > Lifestyle > Lifestyle - Urban,exelate,5.1,2.63,3.8,93,1
Interest > Business & Finance > Finance & Investing > Mortgages,bluekai,5.1,2.63,3,51,151591800
Brand > Fast Food > Nandos,visualdna,5.09,2.63,4.04,405,0
"Branded Data > ALC > Wealth Window > Investable Assets > (E) - $5,000,000 - $9,999,999",bluekai,5.08,2.63,6.09,69,0
Audience - Interests > Technology > Extreme Confidence,DataAlliance,5.08,2.63,1.98,52,0
Intent > Auto - Buyers > Car Makes > Chevrolet,eyeota,5.08,2.63,2.85,27,0
Demographic > Optimized > Female 18-20 > High Confidence,DataAlliance,5.06,2.62,3.56,845,0
interests > cell phones > android > affinity,DataAlliance,5.06,2.62,5.29,30,0
International Audiences > LEN UK > United Kingdom Trendsetters,lotame,5.06,2.62,2.91,22,0
Branded Data > Infogroup > Consumer > Interests > Business & Finance > Business > Small Business,bluekai,5.01,2.61,5.63,54,134544400
US > Premium > Seasonal and Holiday > The Grammys,addthis,5,2.61,2.99,195,0
Business / B2B > Interest > Business Software,eyeota,4.99,2.61,3.01,406,0
Audience - Interests > Education > High Confidence,DataAlliance,4.99,2.61,2.89,228,0
Brand > Supermarket > Costco,visualdna,4.98,2.61,3.85,82,0
Retail > Retail - Department Stores > Retail - Department Stores - Nordstrom > Retail - Department Stores - Nordstrom - Light Credit/Debit Buyer,exelate,4.95,2.6,2.73,42,0
Branded Data > Edmunds > Makes & Models > Volvo > S90,bluekai,4.95,2.6,3.86,30,0
interests > education > college > affinity,DataAlliance,4.94,2.6,1.7,99,0
In-Market > Travel > Air Travel  > Length of Trip > Day Trip (0 Nights),bluekai,4.94,2.6,1.36,8,1117400
US > Premium > Auto > Current Brands > Cadillac,addthis,4.93,2.6,4.29,126,0
Custom Segment > TRP_InvestingTerms_Social_CustomKW,sharethis,4.91,2.59,7.92,62,0
US > Premium > Food > Social > Food Shoppers,addthis,4.89,2.59,3.93,247,0
Retail > Retail - Pet Stores > Retail - Pet Stores - Petco > Retail - Pet Stores - Petco - Light Credit/Debit Buyer,exelate,4.87,2.58,3.58,219,0
intl. > Hong Kong LAPN HKG - Dem+Act+Cat,lotame,4.87,2.58,2.07,168,0
Interest > Autos > Makes > Jeep,bluekai,4.87,2.58,2.31,123,39659200
"B2B > Company Size > 5,000+ Employees",bluekai,4.87,2.58,2.94,93,13620800
Branded Data > Clearspring > Travel > Travel Enthusiast > Business Travel,bluekai,4.86,2.58,5.31,147,113400
Location > Geographic Region > Europe,visualdna,4.86,2.58,2.36,135,0
New Movers > Consumers who have moved within the last 6 months.,alliant,4.86,2.58,2.29,45,0
australia > games and toys,lotame,4.84,2.58,3.82,319,0
purchase intent > home & garden > interior design > extreme,DataAlliance,4.84,2.58,2.62,136,0
Travel > Travel Enthusiast,visualdna,4.82,2.57,2.93,316,0
US > Premium > Food >  Foods >  Fruits,addthis,4.82,2.57,11.69,187,0
Television > Viewership > Shows > AMC > The Walking Dead,bluekai,4.82,2.57,9.41,75,4010800
Nielsen > Scarborough > Shopping - Plans to buy in next 12 months > Wireless/cell phone service,exelate,4.81,2.57,5.2,510,0
Demographic > Career > Career - Human Resources,exelate,4.81,2.57,3.39,75,1
australia > computers and technology,lotame,4.79,2.57,3.02,885,0
B2BX > Functional Area > Wealth Management,exelate,4.79,2.57,5.68,57,0
Audience - Interests > Finance > Insurance > Confident,DataAlliance,4.78,2.56,1.98,52,0
australia > fashion & beauty,lotame,4.77,2.56,3.45,640,0
US > Premium > Technology > Computers > Business Development,addthis,4.76,2.56,4.74,96,0
Intent > Services,eyeota,4.76,2.56,1.75,42,0
Asia-Pacific > news,lotame,4.74,2.56,3.34,413,0
Past Purchases > Financial Products & Services > Retirement & Investing > Mutual Funds,bluekai,4.74,2.56,6.49,329,51830600
Branded Data > Clearspring > Telecommunications > Mobile & Wireless > iPhone,bluekai,4.74,2.56,4.84,197,224200
Branded Data > TruSignal > Auto > Near Market > Models > Land Rover > Range Rover Evoque,bluekai,4.73,2.55,8.11,214,10613760
Branded Data > US Experian > Propensity Models > Retail > Household Consumer Expenditures > Furniture,eyeota,4.72,2.55,2.22,14,0
Nielsen Buyer Insights > Game Stores > Playstation Store - All Buyers,exelate,4.7,2.55,24.55,151,0
purchase intent > computers > computer programming > affinity,DataAlliance,4.7,2.55,1.86,46,0
International Audiences > LEN GER > Germany Summer Travel,lotame,4.7,2.55,1.3,5,0
Global > B2B Predictive Signals > Healthcare > Health Insurance,eyeota,4.69,2.55,4.4,36,0
Business to Business (B2B) > Industry > Retail,lotame,4.67,2.54,6.39,131,0
Interest > Food & Drink > Baking,bluekai,4.67,2.54,5.42,112,2346600
Interest > Finance > Finance - Personal Wealth Management > Finance - Personal Wealth Management - Retirement,exelate,4.66,2.54,3.83,32,1
US > Premium > Retail > Televisions > Flat Screens,addthis,4.66,2.54,1.96,24,0
Audience - Interests > Business > Agriculture & Forestry > Confident,DataAlliance,4.65,2.54,3.75,225,0
US > Premium > Sports > Combat Sports > Martial Arts,addthis,4.63,2.53,4.88,30,0
AudiencePredictor > Jean Yip | uv4fuqr > High Value User Lookalike > 10002,ttdeskpat,4.63,2.53,0.5,27,0
Demographic > Optimized > Female 18-20 > Extreme Confidence,DataAlliance,4.61,2.53,3.93,854,0
australia > food & beverages,lotame,4.61,2.53,3.31,586,0
Lifestyle Statements > Health and Diet > Consider My Diet to Be Very Healthy,targus,4.61,2.53,5.71,167,0
Audience - Interests > Travel > Extreme Confidence,DataAlliance,4.6,2.53,2.59,302,0
UK > Reach > In-Market > Financial,addthis,4.6,2.53,5.89,148,0
Audience - Interests > Finance > Extreme Confidence,DataAlliance,4.59,2.52,2.78,863,0
US > Premium > Retail > Shopping > Department Stores,addthis,4.59,2.52,2.96,600,0
"In-Market > Retail > Clothing, Shoes & Accessories > Clothing > Women > Category > Underwear & Sleepwear > Sleepwear",bluekai,4.59,2.52,3.95,58,2400
B2B Predictive Signals > Technology > Application & Software Development,bluekai,4.58,2.52,9.79,575,15971200
purchase intent > finance > investments & stocks > extreme,DataAlliance,4.58,2.52,8.64,381,0
Branded Data > Clearspring > In-Market > Education > Majors > Business,bluekai,4.58,2.52,5.49,81,2031040
Smart Segments > High End Home Owner,exelate,4.56,2.52,4.7,386,0
Custom Categories > The Academy Awards,bluekai,4.56,2.52,4.12,130,233483800
Nielsen > Auto > Small > Car > Toyota - Yaris,exelate,4.56,2.52,3.55,82,0
B2BX > Industry > Real Estate > Real Estate - Residential,exelate,4.56,2.52,6.08,38,0
Entertainment > Television Shows > MSNBC: Hardball w/Chris Matthews Last 4 Weeks,targus,4.56,2.52,1.61,24,0
ownership > cell phones > affinity,DataAlliance,4.55,2.52,5.56,200,0
Business to Business (B2B) > Functional Area > Education,lotame,4.54,2.51,5.56,59,0
Intent > Services > Phone Plans,eyeota,4.54,2.51,1.92,49,0
US > Premium > Food > Restaurants,addthis,4.53,2.51,4.34,323,0
International Segments > Asia Pacific > Australia > Art,lotame,4.53,2.51,2.99,89,0
US > Premium > Financial >  Personal Finance >  Trading,addthis,4.52,2.51,1.9,275,0
US > Premium > Technology > Computers,addthis,4.52,2.51,4.03,103,0
Entertainment > Television Shows > MSNBC: Morning Joe Last 4 Weeks,targus,4.52,2.51,1.28,8,0
B2B Demo > Professional Groups > Marketing Professional,bluekai,4.51,2.51,2.69,63,29038600
Germany > Reach > In-Market > Retail > Video Games,addthis,4.51,2.51,2.13,27,0
B2B > Industries & Occupations > Health Care > Support > Dental Assistants,bluekai,4.5,2.5,2.23,24,315800
Intent > Shopping > Shopping - Auto Parts and Repair > Shopping - Auto Parts and Repair - Tires,exelate,4.48,2.5,6.88,561,1
Interest > Business & Finance > Insurance > Auto Insurance,bluekai,4.48,2.5,3.07,349,351253600
interests > news > local & regional news > strong affinity,DataAlliance,4.48,2.5,3.05,268,0
B2B > Small Business,bluekai,4.48,2.5,3.43,242,62381000
Intent > Travel > Travel - Destination > Travel - Departure - North America > Travel - Departure - North America - US - Los Angeles-LAX,exelate,4.48,2.5,1.56,17,1
B2B > Roles > Managers,bluekai,4.46,2.5,3.36,297,93932200
advanced demographics > ethnicity - asian,lotame,4.46,2.5,3.24,160,0
US > Reach > Technology > Electronics,addthis,4.46,2.5,1.94,59,0
US > Premium > Sports > Outdoors > Water Sports,addthis,4.44,2.49,1.77,104,0
US > Premium > Retail > Sports and Outdoors,addthis,4.43,2.49,6.58,286,0
"Demographic > Housing Attributes > Median Home Value > $400,000-$499,999",bluekai,4.42,2.49,3.84,117,12786400
International Segments > Asia Pacific > Australia > Government and Politics,lotame,4.42,2.49,2.98,39,0
Branded Data > Clearspring > Telecommunications > Mobile & Wireless > Phone Features,bluekai,4.4,2.48,5.21,228,383000
purchase intent > finance > investments & stocks > affinity,DataAlliance,4.4,2.48,2.69,94,0
Audience - Interests > Technology > High Confidence,DataAlliance,4.39,2.48,1.98,278,0
Intent > Travel > Travel - Destination > Travel - Departure - North America,exelate,4.39,2.48,4.41,106,1
singapore > travel,lotame,4.38,2.48,1.73,247,0
Lotame_vCE Optimized > Age > 35-64_M,lotame,4.38,2.48,3.82,109,0
Entertainment & Lifestyle > Online > News,visualdna,4.37,2.47,1.54,31,0
Branded Data > Experian > Models > Moms > Mothers with teenage child(ren) (13-15 yrs old),bluekai,4.36,2.47,4.13,46,23641000
Business to Business (B2B) > Functional Area > Marketing,lotame,4.35,2.47,2.72,144,0
Demographic > Career > Career - Manufacturing and Production,exelate,4.35,2.47,3.78,50,1
NCS > Pet Supplies > Dog Food Category > Purina Brands > Purina Beneful,neustar_pro,4.34,2.47,10.03,378,0
US > Premium > Political >  Government >  Federal Agencies,addthis,4.33,2.47,4.26,76,0
"Branded Data > Alliant > Health & Wellbeing > Health, Wellness & Fitness",bluekai,4.32,2.46,4.82,118,64959000
Audience - Interests > Finance > Financial Planning > Confident,DataAlliance,4.3,2.46,3.78,778,0
Audience - Interests > Health > High Confidence,DataAlliance,4.29,2.46,3.87,840,0
Finance > Interest > Mortgage,visualdna,4.29,2.46,1.67,49,0
Security Services Targeting_IPs,DataAlliance,4.29,2.46,1.53,34,1
Demographic > Education Level > Education Level - High School,exelate,4.28,2.45,2.86,51,1
DE > Interest > WhiteGoods,semasio,4.27,2.45,1.75,16,0
US > Premium > Entertainment > Movies >  Genre >  Military and War,addthis,4.27,2.45,2.29,10,0
interests > parenting & family > affinity,DataAlliance,4.26,2.45,2.05,130,0
Nielsen > Auto > Compact > SUV > Volkswagen - Tiguan,exelate,4.24,2.44,4.03,430,0
Geographic > IP based > Country > Australia,bluekai,4.24,2.44,3.49,111,21891400
"Interest > Events > ""Events - Charity, Fundraisers""",exelate,4.24,2.44,2.9,79,1
Business / B2B > Interest > Legal,eyeota,4.23,2.44,3.69,218,0
Global > Install Data > Web-Oriented Architecture > Server and Data Center,eyeota,4.23,2.44,0.86,16,0
US > Premium > Travel > Destinations > Las Vegas,addthis,4.22,2.44,1.68,245,0
Branded Data > Clearspring > Telecommunications > Mobile & Wireless > Android Phones,bluekai,4.21,2.44,5.35,207,196000
US > Premium > Retail > Shopping > Luxury General,addthis,4.2,2.44,3.16,58,0
basic demographic > gender > male > extreme,DataAlliance,4.19,2.43,3.48,360,0
UK > Reach > Retail,addthis,4.18,2.43,5.8,160,0
purchase intent > home & garden > strong affinity,DataAlliance,4.18,2.43,4.9,113,0
In-Market > Retail > Shopping Predictors > Transaction Predictors > Retail > Babies & Kids,bluekai,4.16,2.43,1.91,164,83658400
In-Market > Education > Disciplines > Engineering,bluekai,4.16,2.43,1.86,52,38000
Intent > Propensity > Propensity - Personal Tech > Propensity - Personal Tech - Mobile - BlackBerry,exelate,4.15,2.42,2.51,151,1
Branded Data > Lotame > Home & Family > Parenting,bluekai,4.14,2.42,6.92,257,101165400
Brand > Supermarket > Sainsburys,visualdna,4.14,2.42,6.3,44,0
Interest > Autos > Auto Enthusiasts,bluekai,4.13,2.42,3.28,519,44950600
International Audiences > LEN GER > Germany Discount Travel,lotame,4.13,2.42,1.32,6,0
Audience - Interests > Sports > Football > Extreme Confidence,DataAlliance,4.12,2.42,5.08,462,0
"Demographic > Financial Attributes > Estimated Net Worth > $1,000,000+",bluekai,4.12,2.42,3.4,95,18838600
Brand > ISP > Plusnet,visualdna,4.12,2.42,4.09,67,0
B2B Demo > Professional Groups > IT Professional,bluekai,4.11,2.41,2.47,203,114947600
US > Premium > Sports > Social > Sports Influencers,addthis,4.11,2.41,1.9,35,0
Demographic > Optimized > Female 18-20 > Confident,DataAlliance,4.1,2.41,5.26,1282,0
Interest > Finance > Finance - Personal Wealth Management,exelate,4.1,2.41,7.84,110,1
Audience - Interests > Autos & Vehicles > Auto Parts & Repairs > High Confidence,DataAlliance,4.09,2.41,2.6,31,0
Audience - Interests > Finance > Investment & Saving > Extreme Confidence,DataAlliance,4.08,2.41,2.88,1215,0
Demographics > Employment > Employed,visualdna,4.08,2.41,1.1,42,0
