tdid,score
0005c280-e403-4d1f-9f28-a25558d6943d,58.0492470492
003b983f-5b6a-4f31-9f91-e8e127c08b8d,58.0492470492
00ff5e0d-b028-4dd6-ab3d-4a201df5e3eb,58.0492470492
0112c574-0281-4dda-aded-e442fee7a0b6,58.0492470492
015275ab-1199-4335-bac4-5c658dd6b8a0,58.0492470492
016c69ba-e9a8-4688-9e77-22eda6850dcc,58.0492470492
0198b84d-92bb-4c0f-869c-cf6214389c4c,58.0492470492
01b0ca9b-4b03-4d6d-be56-78ef736c7ae3,58.0492470492
01d54bfd-7687-4602-ae30-57e9c2cfc701,58.0492470492
021bf3cb-58da-475a-9e86-2719f60b6dc2,58.0492470492
023de918-c5d3-4923-85f0-25ba4e11ce3e,58.0492470492
024dc94b-473d-4785-8de1-5f9a16961a59,58.0492470492
02eb83ba-4f08-42f8-80f3-9842b2f62f58,58.0492470492
02ee3030-5fde-4d8e-b115-c99f81e920a6,58.0492470492
03c83cf7-07e4-4967-924f-2c43be6a6073,58.0492470492
041ab1a3-ce7b-4d60-bb84-40cc9757ac0e,58.0492470492
04299d46-8884-4696-9425-fc66e216eb56,58.0492470492
046887c2-ca18-4264-b711-d9a5cd67758d,58.0492470492
04e1d12c-eb78-4e89-b3ba-07886b1c9ce4,58.0492470492
054ff503-5394-4a9d-9582-ccd509634483,58.0492470492
059685e3-2379-458c-9f78-b0c54c4f9288,58.0492470492
0667c746-7493-4110-be2e-7c336da016bd,58.0492470492
075acf6b-d497-4052-9b74-c7317c41dac9,58.0492470492
07f9804b-374b-4516-9a37-c0cd042cac7b,58.0492470492
09952bb8-3b02-46ca-931b-1a4cff6ee7cb,58.0492470492
09e00b4d-fe18-4611-8e73-ea221a8ce2cb,58.0492470492
0af888fe-c60a-4774-9e28-c9717b15623f,58.0492470492
0b49c79b-f359-4ac6-a21b-3512064787ad,58.0492470492
0b78a076-ed6a-474b-a796-ce4de0bcd5eb,58.0492470492
0ba0f9b6-2e60-47f1-8182-387d3ad770b3,58.0492470492
0bbeab5d-03ac-4665-9c3a-cbd3f82a505d,58.0492470492
0bc65c5f-1e3b-4e0e-a176-0e8571408141,58.0492470492
0bd0bab6-21fc-4f21-9d72-5af8a745cbbd,58.0492470492
