tdid,score
1e2602bb-c753-457a-89ed-d06765a1ea73,-0.0008871989753238552
166ae807-279b-4b4a-a4e7-47d9299bc1bd,-0.003265960410153923
be3e922c-e380-43d7-9f72-5c4e2829902d,-0.003265960410153923
2a69be0e-a3ce-40c9-91cd-20eaeff3fcd4,-0.0034865771082870367
5fefe972-adc6-4dd7-a586-9b67ddccc64a,-0.0034865771082870367
abeac985-e252-41f3-81b6-876b7b02689a,-0.003930904688257186
5f2bdb7f-72e1-4ea9-9caf-c8abe7d539e7,-0.004256522308530464
ad28051b-2e3a-4512-8440-b78cd8ac87ad,-0.004256522308530464
a7b6c6f3-d9ec-484e-a46a-c20b84419948,-0.0054373962398699405
2f06b9dd-a5e4-4da8-bada-afd0e0556de6,-0.005977351719234747
cbe79e5e-603b-4254-8df1-c11f63bbd5b1,-0.0062235570521735895
088f0195-80b8-47b8-8504-c1eebc0c421b,-0.006523938878689961
f63b9f47-ed08-48e4-90b5-838a9a291339,-0.006526492358506886
f6ddbda8-3a60-44b8-8d47-503005106df7,-0.006526492358506886
4398df4f-f4ca-4f87-80eb-eb56c01ba0ae,-0.006526492358506886
27821302-2dff-4a09-80e7-c65247087ad7,-0.009385820524222765
97b2da8f-cb04-460f-835f-692d3a638ad3,-0.009551965008189
eaa7b9f0-1f8b-4811-9bcb-d1ae7fcdd61f,-0.009773907402358617
6aecaee9-ae58-4027-9161-73455895905c,-0.011113413000611416
a982603a-40b0-4794-bf16-8bdf7f9fc345,-0.01191681768923658
eb095bb2-1c93-4e93-91cc-a93057d3f6c3,-0.012715974068910896
fad38a38-d754-42b3-9d42-ea6b634d1c79,-0.01301085927201484
d392dd4b-9bd2-4af9-8df3-1370a7a8bc0f,-0.01301085927201484
f6070a0e-b582-4928-8962-0c572ba3db7d,-0.01388030488197245
997f1e07-1c34-4f0f-8403-5a55d882039c,-0.013929071241577162
94b00678-5660-444b-b0b3-ff0c13043588,-0.014051482530756942
8ce1534b-33b5-4027-b076-fa9289232619,-0.014075317809108867
28ee2589-7762-4921-91b8-b8d99731d479,-0.014288803102392222
d22336c9-0a33-4719-8ce4-db57c3e78ce4,-0.014399524979204159
d5b6ff9a-702b-4b2b-b490-bf04d7b225e7,-0.01462537822584764
5063868b-d93c-430d-bd88-cbae54bc6c63,-0.015566415502224373
dd0203b4-9baf-4d48-96cd-e5897627f753,-0.016237415331271876
96a088f9-c35c-46cb-9adb-8480bb415df1,-0.016365884535005648
a1abea04-c95c-4437-9901-fa06e10cb71a,-0.016918951724260722
c0af4a29-ee18-492b-b888-a9294dc67160,-0.01731122480914138
f03cc147-a46a-4be8-a930-31d94210d784,-0.01731122480914138
c8990328-bfff-402a-b9ae-9b493ba15e9d,-0.01731122480914138
42df0acc-0f3c-4972-9b3c-5ba9a84495b3,-0.018782111332019014
5fd05a91-165a-42a3-9459-35b66c83f7c0,-0.019295135726224544
c058ff15-2359-4a5c-a4f5-2261bed72852,-0.019453498011635872
22a5a0e7-6d9b-4124-b611-cd9e2245d305,-0.019453642295463425
82b18813-11a2-4790-85a6-d621e5c2dd3c,-0.020765312700405048
c58be0e1-240e-47df-86e0-477690a1adab,-0.02122838727846954
